"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Mean Wage",2016,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",11.92,12.82,11.04
"Mean Wage",2016,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",10.35,10.94,8.07
"Mean Wage",2016,"Causeway Coast and Glens","Weekly","All",361.1,341.6,393.1
"Mean Wage",2016,"Causeway Coast and Glens","Weekly","Full-Time",466.4,469.1,463.6
"Mean Wage",2016,"Causeway Coast and Glens","Weekly","Part-Time",199,212.7,149.7
"Mean Wage",2016,"Derry City and Strabane","Hourly (excluding overtime)","All",12.89,13.32,12.46
"Mean Wage",2016,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",13.57,14.82,12.58
"Mean Wage",2016,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",10.24,9.72,11.54
"Mean Wage",2016,"Derry City and Strabane","Weekly","All",399.1,374.7,428.1
"Mean Wage",2016,"Derry City and Strabane","Weekly","Full-Time",515.4,533.2,500.3
"Mean Wage",2016,"Derry City and Strabane","Weekly","Part-Time",186.3,181.6,196.9
"Mean Wage",2016,"Fermanagh and Omagh","Hourly (excluding overtime)","All",12.5,12.29,12.69
"Mean Wage",2016,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",13.21,13.13,13.26
"Mean Wage",2016,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",9.85,10.5,8.16
"Mean Wage",2016,"Fermanagh and Omagh","Weekly","All",391.9,333.1,462.1
"Mean Wage",2016,"Fermanagh and Omagh","Weekly","Full-Time",520.7,488.8,544.6
"Mean Wage",2016,"Fermanagh and Omagh","Weekly","Part-Time",174.8,180.7,158.1
"Mean Wage",2016,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",12.81,12.72,12.88
"Mean Wage",2016,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",13.54,14.05,13.21
"Mean Wage",2016,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",9.47,9.68,8.73
"Mean Wage",2016,"Lisburn and Castlereagh","Weekly","All",421.1,366.5,480.1
"Mean Wage",2016,"Lisburn and Castlereagh","Weekly","Full-Time",545.5,539.6,549.6
"Mean Wage",2016,"Lisburn and Castlereagh","Weekly","Part-Time",167.7,177,139.3
"Mean Wage",2016,"Mid and East Antrim","Hourly (excluding overtime)","All",13.19,12.08,13.95
"Mean Wage",2016,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",13.95,13.13,14.37
"Mean Wage",2016,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",9.5,9.59,9.29
"Mean Wage",2016,"Mid and East Antrim","Weekly","All",443.8,347.3,522.8
"Mean Wage",2016,"Mid and East Antrim","Weekly","Full-Time",559.2,487.1,597.9
"Mean Wage",2016,"Mid and East Antrim","Weekly","Part-Time",174.5,180.8,160.8
"Mean Wage",2016,"Mid Ulster","Hourly (excluding overtime)","All",12.27,11.76,12.53
"Mean Wage",2016,"Mid Ulster","Hourly (excluding overtime)","Full-Time",12.65,12.43,12.74
"Mean Wage",2016,"Mid Ulster","Hourly (excluding overtime)","Part-Time",10.01,10.2,9.52
"Mean Wage",2016,"Mid Ulster","Weekly","All",425.8,338.3,483.4
"Mean Wage",2016,"Mid Ulster","Weekly","Full-Time",513.3,466.6,532.2
"Mean Wage",2016,"Mid Ulster","Weekly","Part-Time",183.5,190.8,166.9
"Mean Wage",2016,"Newry, Mourne and Down","Hourly (excluding overtime)","All",12.42,12.08,12.68
"Mean Wage",2016,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",12.82,12.58,12.95
"Mean Wage",2016,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",10.73,11.01,10
"Mean Wage",2016,"Newry, Mourne and Down","Weekly","All",410.7,346,471.5
"Mean Wage",2016,"Newry, Mourne and Down","Weekly","Full-Time",517.1,475.2,542.4
"Mean Wage",2016,"Newry, Mourne and Down","Weekly","Part-Time",197.1,206.7,174.6
"Mean Wage",2016,"Ards and North Down","Hourly (excluding overtime)","All",12.32,11.94,12.75
"Mean Wage",2016,"Ards and North Down","Hourly (excluding overtime)","Full-Time",13.26,12.89,13.58
"Mean Wage",2016,"Ards and North Down","Hourly (excluding overtime)","Part-Time",9.86,10.4,8.36
"Mean Wage",2016,"Ards and North Down","Weekly","All",362.7,315,433.2
"Mean Wage",2016,"Ards and North Down","Weekly","Full-Time",519.8,484.4,551.9
"Mean Wage",2016,"Ards and North Down","Weekly","Part-Time",175.9,185.4,148.9
"Mean Wage",2017,"Northern Ireland","Hourly (excluding overtime)","All",14.05,13.49,14.49
"Mean Wage",2017,"Northern Ireland","Hourly (excluding overtime)","Full-Time",14.66,14.41,14.81
"Mean Wage",2017,"Northern Ireland","Hourly (excluding overtime)","Part-Time",10.93,11.1,10.41
"Mean Wage",2017,"Northern Ireland","Weekly","All",473.4,398,546.7
"Mean Wage",2017,"Northern Ireland","Weekly","Full-Time",585.9,547.7,610.3
"Mean Wage",2017,"Northern Ireland","Weekly","Part-Time",202.6,208.2,186.6
"Mean Wage",2017,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",14.23,13.99,14.45
"Mean Wage",2017,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",14.7,14.74,14.68
"Mean Wage",2017,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",11.5,11.58,NA
"Mean Wage",2017,"Antrim and Newtownabbey","Weekly","All",486.2,434.8,543.3
"Mean Wage",2017,"Antrim and Newtownabbey","Weekly","Full-Time",578.8,557,596.5
"Mean Wage",2017,"Antrim and Newtownabbey","Weekly","Part-Time",224,229,NA
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",13.66,13.6,13.71
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",13.98,14.6,13.59
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",12.14,11.31,NA
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Weekly","All",477.5,430.1,523.9
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",580.5,603.5,566.7
"Mean Wage",2017,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",238.9,234.2,NA
"Mean Wage",2017,"Belfast","Hourly (excluding overtime)","All",15.7,14.4,16.71
"Mean Wage",2017,"Belfast","Hourly (excluding overtime)","Full-Time",16.38,15.2,17.12
"Mean Wage",2017,"Belfast","Hourly (excluding overtime)","Part-Time",11.54,11.81,10.81
"Mean Wage",2017,"Belfast","Weekly","All",531,439.1,615.9
"Mean Wage",2017,"Belfast","Weekly","Full-Time",633.5,572.2,673.5
"Mean Wage",2017,"Belfast","Weekly","Part-Time",220.9,224,212.2
"Mean Wage",2017,"Causeway Coast and Glens","Hourly (excluding overtime)","All",11.55,12.01,11.09
"Mean Wage",2017,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",11.89,12.88,11.16
"Mean Wage",2017,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",10.08,10.11,9.91
"Mean Wage",2017,"Causeway Coast and Glens","Weekly","All",371.6,333.2,421.3
"Mean Wage",2017,"Causeway Coast and Glens","Weekly","Full-Time",474.8,477.3,472.9
"Mean Wage",2017,"Causeway Coast and Glens","Weekly","Part-Time",173.6,182,138.9
"Mean Wage",2017,"Derry City and Strabane","Hourly (excluding overtime)","All",13.59,13.52,13.68
"Mean Wage",2017,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",14.22,14.39,14.07
"Mean Wage",2017,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",11.27,11.44,10.85
"Mean Wage",2017,"Derry City and Strabane","Weekly","All",421.3,374.5,483.6
"Mean Wage",2017,"Derry City and Strabane","Weekly","Full-Time",551.3,529.8,571.1
"Mean Wage",2017,"Derry City and Strabane","Weekly","Part-Time",200.2,200.4,199.4
"Mean Wage",2017,"Fermanagh and Omagh","Hourly (excluding overtime)","All",12.97,12.56,13.32
"Mean Wage",2017,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",13.57,13.37,13.7
"Mean Wage",2017,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",10.43,10.79,9.22
"Mean Wage",2017,"Fermanagh and Omagh","Weekly","All",429.9,351.7,520.3
"Mean Wage",2017,"Fermanagh and Omagh","Weekly","Full-Time",550.4,495.1,589.9
"Mean Wage",2017,"Fermanagh and Omagh","Weekly","Part-Time",191.9,198.3,170.4
"Mean Wage",2017,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",13.14,13.48,12.86
"Mean Wage",2017,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",13.77,14.77,13.13
"Mean Wage",2017,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",9.81,9.95,9.4
"Mean Wage",2017,"Lisburn and Castlereagh","Weekly","All",439.5,396.5,482
"Mean Wage",2017,"Lisburn and Castlereagh","Weekly","Full-Time",545.1,549.6,542.1
"Mean Wage",2017,"Lisburn and Castlereagh","Weekly","Part-Time",180.6,188.8,158.9
"Mean Wage",2017,"Mid and East Antrim","Hourly (excluding overtime)","All",13.19,12.3,13.76
"Mean Wage",2017,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",13.87,13.14,14.22
"Mean Wage",2017,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",9.98,10.49,8.78
"Mean Wage",2017,"Mid and East Antrim","Weekly","All",451.9,354.2,531.2
"Mean Wage",2017,"Mid and East Antrim","Weekly","Full-Time",563.5,496.5,597.4
"Mean Wage",2017,"Mid and East Antrim","Weekly","Part-Time",193.7,198,183.3
"Mean Wage",2017,"Mid Ulster","Hourly (excluding overtime)","All",12.26,12.34,12.22
"Mean Wage",2017,"Mid Ulster","Hourly (excluding overtime)","Full-Time",12.74,13.38,12.51
"Mean Wage",2017,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9.44,10.04,8
"Mean Wage",2017,"Mid Ulster","Weekly","All",428.3,364.9,467.5
"Mean Wage",2017,"Mid Ulster","Weekly","Full-Time",515.8,505.5,519.7
"Mean Wage",2017,"Mid Ulster","Weekly","Part-Time",181.9,201.4,141.5
"Mean Wage",2017,"Newry, Mourne and Down","Hourly (excluding overtime)","All",13.1,12.35,13.67
"Mean Wage",2017,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",13.55,12.73,13.99
"Mean Wage",2017,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",11.19,11.6,9.82
"Mean Wage",2017,"Newry, Mourne and Down","Weekly","All",424.1,342.8,503.6
"Mean Wage",2017,"Newry, Mourne and Down","Weekly","Full-Time",544.9,479.7,582.8
"Mean Wage",2017,"Newry, Mourne and Down","Weekly","Part-Time",195,212.5,146.7
"Mean Wage",2017,"Ards and North Down","Hourly (excluding overtime)","All",12.29,12.67,11.89
"Mean Wage",2017,"Ards and North Down","Hourly (excluding overtime)","Full-Time",12.95,13.78,12.28
"Mean Wage",2017,"Ards and North Down","Hourly (excluding overtime)","Part-Time",10.23,10.58,9.24
"Mean Wage",2017,"Ards and North Down","Weekly","All",366.2,330.8,416.3
"Mean Wage",2017,"Ards and North Down","Weekly","Full-Time",512.1,527,499.6
"Mean Wage",2017,"Ards and North Down","Weekly","Part-Time",170.7,172.6,164.8
"Mean Wage",2018,"Northern Ireland","Hourly (excluding overtime)","All",14.43,13.84,14.89
"Mean Wage",2018,"Northern Ireland","Hourly (excluding overtime)","Full-Time",15.03,14.75,15.2
"Mean Wage",2018,"Northern Ireland","Hourly (excluding overtime)","Part-Time",11.32,11.4,11.08
"Mean Wage",2018,"Northern Ireland","Weekly","All",486.1,411.2,558.6
"Mean Wage",2018,"Northern Ireland","Weekly","Full-Time",597.2,555,625
"Mean Wage",2018,"Northern Ireland","Weekly","Part-Time",211.6,217.1,197.1
"Mean Wage",2018,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",14.43,14.59,14.29
"Mean Wage",2018,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",14.71,15.35,14.29
"Mean Wage",2018,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",12.63,12.11,NA
"Mean Wage",2018,"Antrim and Newtownabbey","Weekly","All",501.1,443.9,558.1
"Mean Wage",2018,"Antrim and Newtownabbey","Weekly","Full-Time",585.5,570.6,596.1
"Mean Wage",2018,"Antrim and Newtownabbey","Weekly","Part-Time",242.1,230.3,NA
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",13.84,13.42,14.17
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",14.1,14.08,14.12
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",12.57,11.91,NA
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Weekly","All",480.2,405.5,552.6
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",571.9,528.9,599.1
"Mean Wage",2018,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",253.4,248.2,NA
"Mean Wage",2018,"Belfast","Hourly (excluding overtime)","All",16.2,14.97,17.19
"Mean Wage",2018,"Belfast","Hourly (excluding overtime)","Full-Time",16.85,15.62,17.67
"Mean Wage",2018,"Belfast","Hourly (excluding overtime)","Part-Time",12.29,12.73,11.18
"Mean Wage",2018,"Belfast","Weekly","All",540,461.4,612.9
"Mean Wage",2018,"Belfast","Weekly","Full-Time",647.8,589.8,687.7
"Mean Wage",2018,"Belfast","Weekly","Part-Time",227.9,243.3,193.1
"Mean Wage",2018,"Causeway Coast and Glens","Hourly (excluding overtime)","All",12.52,12.62,12.44
"Mean Wage",2018,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",13.07,13.55,12.72
"Mean Wage",2018,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",10.02,10.2,9.51
"Mean Wage",2018,"Causeway Coast and Glens","Weekly","All",419.8,367.9,478.3
"Mean Wage",2018,"Causeway Coast and Glens","Weekly","Full-Time",523,499.3,541.4
"Mean Wage",2018,"Causeway Coast and Glens","Weekly","Part-Time",191,195.7,177.8
"Mean Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","All",13.29,13.5,13.06
"Mean Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",14.01,14.77,13.34
"Mean Wage",2018,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",10.65,10.57,10.88
"Mean Wage",2018,"Derry City and Strabane","Weekly","All",415.8,378.8,466.6
"Mean Wage",2018,"Derry City and Strabane","Weekly","Full-Time",537.5,539,536.1
"Mean Wage",2018,"Derry City and Strabane","Weekly","Part-Time",197.1,194.4,205.3
"Mean Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","All",12.92,12.65,13.18
"Mean Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",13.59,13.48,13.67
"Mean Wage",2018,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",10.58,11.11,8.86
"Mean Wage",2018,"Fermanagh and Omagh","Weekly","All",411.3,346.5,490.1
"Mean Wage",2018,"Fermanagh and Omagh","Weekly","Full-Time",538.1,484.4,579
"Mean Wage",2018,"Fermanagh and Omagh","Weekly","Part-Time",197.1,211.6,154.6
"Mean Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",14.27,14.27,14.26
"Mean Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",14.87,15.64,14.34
"Mean Wage",2018,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",11.14,10.43,13.26
"Mean Wage",2018,"Lisburn and Castlereagh","Weekly","All",480,428.2,533.1
"Mean Wage",2018,"Lisburn and Castlereagh","Weekly","Full-Time",593.1,592.7,593.4
"Mean Wage",2018,"Lisburn and Castlereagh","Weekly","Part-Time",204.4,197.6,222.2
"Mean Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","All",13.6,12.77,14.19
"Mean Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",14.25,13.68,14.57
"Mean Wage",2018,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",10.39,10.61,9.79
"Mean Wage",2018,"Mid and East Antrim","Weekly","All",460.5,369,541.1
"Mean Wage",2018,"Mid and East Antrim","Weekly","Full-Time",572.3,512,606.6
"Mean Wage",2018,"Mid and East Antrim","Weekly","Part-Time",198.2,200.1,193.4
"Mean Wage",2018,"Mid Ulster","Hourly (excluding overtime)","All",12.4,12.1,12.56
"Mean Wage",2018,"Mid Ulster","Hourly (excluding overtime)","Full-Time",12.88,13.14,12.78
"Mean Wage",2018,"Mid Ulster","Hourly (excluding overtime)","Part-Time",9.45,9.6,9.07
"Mean Wage",2018,"Mid Ulster","Weekly","All",441.2,359.7,492.4
"Mean Wage",2018,"Mid Ulster","Weekly","Full-Time",530.9,496.1,544.9
"Mean Wage",2018,"Mid Ulster","Weekly","Part-Time",178.1,189.5,154.6
"Mean Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","All",13.71,12.89,14.38
"Mean Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",14.21,13.22,14.82
"Mean Wage",2018,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",11.54,12.17,9.66
"Mean Wage",2018,"Newry, Mourne and Down","Weekly","All",450.7,367.3,535.8
"Mean Wage",2018,"Newry, Mourne and Down","Weekly","Full-Time",574.5,506.1,618
"Mean Wage",2018,"Newry, Mourne and Down","Weekly","Part-Time",206.5,222.2,163.5
"Mean Wage",2018,"Ards and North Down","Hourly (excluding overtime)","All",12.93,12.81,13.07
"Mean Wage",2018,"Ards and North Down","Hourly (excluding overtime)","Full-Time",13.87,14.28,13.51
"Mean Wage",2018,"Ards and North Down","Hourly (excluding overtime)","Part-Time",10.05,10.09,9.92
"Mean Wage",2018,"Ards and North Down","Weekly","All",391.3,349.6,454.2
"Mean Wage",2018,"Ards and North Down","Weekly","Full-Time",541.4,544.3,538.8
"Mean Wage",2018,"Ards and North Down","Weekly","Part-Time",178.6,179.3,176.3
"Mean Wage",2019,"Northern Ireland","Hourly (excluding overtime)","All",14.85,14.14,15.44
"Mean Wage",2019,"Northern Ireland","Hourly (excluding overtime)","Full-Time",15.45,15.07,15.69
"Mean Wage",2019,"Northern Ireland","Hourly (excluding overtime)","Part-Time",11.87,11.79,12.14
"Mean Wage",2019,"Northern Ireland","Weekly","All",497.4,417,579.7
"Mean Wage",2019,"Northern Ireland","Weekly","Full-Time",617.1,572.3,647.1
"Mean Wage",2019,"Northern Ireland","Weekly","Part-Time",219.8,222.9,210.5
"Mean Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",15.24,15.48,15.01
"Mean Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",15.71,16.59,15.08
"Mean Wage",2019,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",12.67,12.26,NA
"Mean Wage",2019,"Antrim and Newtownabbey","Weekly","All",503,452.5,559.6
"Mean Wage",2019,"Antrim and Newtownabbey","Weekly","Full-Time",614.5,618.5,611.4
"Mean Wage",2019,"Antrim and Newtownabbey","Weekly","Part-Time",227,220.9,NA
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",14.36,13.93,14.76
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",14.72,14.75,14.69
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",12.76,11.97,NA
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","All",478.6,411,558.5
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",592.1,558.9,618
"Mean Wage",2019,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",242.1,232,NA
"Mean Wage",2019,"Belfast","Hourly (excluding overtime)","All",16.4,14.98,17.58
"Mean Wage",2019,"Belfast","Hourly (excluding overtime)","Full-Time",17.09,15.73,18
"Mean Wage",2019,"Belfast","Hourly (excluding overtime)","Part-Time",12.38,12.66,11.5
"Mean Wage",2019,"Belfast","Weekly","All",552.6,461.2,641.4
"Mean Wage",2019,"Belfast","Weekly","Full-Time",661.8,599.1,704.4
"Mean Wage",2019,"Belfast","Weekly","Part-Time",237.7,246.1,213
"Mean Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","All",12.77,13.49,12.09
"Mean Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",13.22,14.61,12.24
"Mean Wage",2019,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",10.79,10.97,10.05
"Mean Wage",2019,"Causeway Coast and Glens","Weekly","All",422.5,393.1,456.1
"Mean Wage",2019,"Causeway Coast and Glens","Weekly","Full-Time",528.1,539.1,519.9
"Mean Wage",2019,"Causeway Coast and Glens","Weekly","Part-Time",205,222.2,152.9
"Mean Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","All",13.88,13.61,14.15
"Mean Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",14.21,14.65,13.87
"Mean Wage",2019,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",12.66,11.28,16.26
"Mean Wage",2019,"Derry City and Strabane","Weekly","All",422.2,370.5,484.7
"Mean Wage",2019,"Derry City and Strabane","Weekly","Full-Time",548.4,543.7,552.1
"Mean Wage",2019,"Derry City and Strabane","Weekly","Part-Time",214.5,192.6,269.3
"Mean Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","All",14.3,14.54,14.09
"Mean Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",14.95,15.74,14.48
"Mean Wage",2019,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",11.87,12.49,9.29
"Mean Wage",2019,"Fermanagh and Omagh","Weekly","All",470.4,415.7,529.9
"Mean Wage",2019,"Fermanagh and Omagh","Weekly","Full-Time",600.4,584.3,610.7
"Mean Wage",2019,"Fermanagh and Omagh","Weekly","Part-Time",231.5,257.9,146.1
"Mean Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",14.5,14.25,14.7
"Mean Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",15.17,15.37,15.05
"Mean Wage",2019,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",11.2,11.48,10.35
"Mean Wage",2019,"Lisburn and Castlereagh","Weekly","All",489.7,419,561.9
"Mean Wage",2019,"Lisburn and Castlereagh","Weekly","Full-Time",613.9,593.6,627.1
"Mean Wage",2019,"Lisburn and Castlereagh","Weekly","Part-Time",207.3,212.5,191.1
"Mean Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","All",13.96,12.58,15.11
"Mean Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",14.76,13.66,15.41
"Mean Wage",2019,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",10.73,10.52,11.55
"Mean Wage",2019,"Mid and East Antrim","Weekly","All",462.3,359.3,567.7
"Mean Wage",2019,"Mid and East Antrim","Weekly","Full-Time",596.9,512.6,649.3
"Mean Wage",2019,"Mid and East Antrim","Weekly","Part-Time",198.4,205.2,178.6
"Mean Wage",2019,"Mid Ulster","Hourly (excluding overtime)","All",12.9,12.2,13.23
"Mean Wage",2019,"Mid Ulster","Hourly (excluding overtime)","Full-Time",13.29,12.81,13.47
"Mean Wage",2019,"Mid Ulster","Hourly (excluding overtime)","Part-Time",10.25,10.42,9.95
"Mean Wage",2019,"Mid Ulster","Weekly","All",465.7,353.5,536.3
"Mean Wage",2019,"Mid Ulster","Weekly","Full-Time",562.5,483,595.9
"Mean Wage",2019,"Mid Ulster","Weekly","Part-Time",183.1,181,187.1
"Mean Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","All",14.32,13.26,15.27
"Mean Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",14.92,13.83,15.65
"Mean Wage",2019,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",11.63,12.01,10.03
"Mean Wage",2019,"Newry, Mourne and Down","Weekly","All",477.8,387.8,581.7
"Mean Wage",2019,"Newry, Mourne and Down","Weekly","Full-Time",607.5,539.8,655.1
"Mean Wage",2019,"Newry, Mourne and Down","Weekly","Part-Time",213,225.2,168
"Mean Wage",2019,"Ards and North Down","Hourly (excluding overtime)","All",13.18,12.86,13.57
"Mean Wage",2019,"Ards and North Down","Hourly (excluding overtime)","Full-Time",13.82,13.95,13.71
"Mean Wage",2019,"Ards and North Down","Hourly (excluding overtime)","Part-Time",11.09,10.68,12.51
"Mean Wage",2019,"Ards and North Down","Weekly","All",401.8,360,464.1
"Mean Wage",2019,"Ards and North Down","Weekly","Full-Time",541.5,530.8,551.9
"Mean Wage",2019,"Ards and North Down","Weekly","Part-Time",198,196.5,202.6
"Mean Wage",2020,"Northern Ireland","Hourly (excluding overtime)","All",14.9,14.52,15.23
"Mean Wage",2020,"Northern Ireland","Hourly (excluding overtime)","Full-Time",15.5,15.48,15.52
"Mean Wage",2020,"Northern Ireland","Hourly (excluding overtime)","Part-Time",11.95,11.97,11.91
"Mean Wage",2020,"Northern Ireland","Weekly","All",496.3,433.5,560.9
"Mean Wage",2020,"Northern Ireland","Weekly","Full-Time",608.6,582.3,627.1
"Mean Wage",2020,"Northern Ireland","Weekly","Part-Time",230.1,232.8,222.8
"Mean Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",14.75,15.62,13.93
"Mean Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",15.22,17.23,13.8
"Mean Wage",2020,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",12.64,11.91,NA
"Mean Wage",2020,"Antrim and Newtownabbey","Weekly","All",480.7,454.2,511.5
"Mean Wage",2020,"Antrim and Newtownabbey","Weekly","Full-Time",597.6,640.6,565.1
"Mean Wage",2020,"Antrim and Newtownabbey","Weekly","Part-Time",235.4,234.5,NA
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",14.88,14.68,15.05
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",15.2,15.47,15.03
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",13.4,12.79,NA
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","All",495.9,440.6,552.5
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",593.4,582.8,600.5
"Mean Wage",2020,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",267.8,260.8,NA
"Mean Wage",2020,"Belfast","Hourly (excluding overtime)","All",16.85,15.57,18
"Mean Wage",2020,"Belfast","Hourly (excluding overtime)","Full-Time",17.55,16.42,18.38
"Mean Wage",2020,"Belfast","Hourly (excluding overtime)","Part-Time",12.65,12.6,12.79
"Mean Wage",2020,"Belfast","Weekly","All",569.1,485,656.7
"Mean Wage",2020,"Belfast","Weekly","Full-Time",675.4,620.3,717.5
"Mean Wage",2020,"Belfast","Weekly","Part-Time",248.5,246.4,254.6
"Mean Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","All",12.81,13.38,12.23
"Mean Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",13.21,14.24,12.47
"Mean Wage",2020,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",11.19,11.62,9.21
