"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Mean Hours Worked",2018,"Belfast","All Jobs",30.9,35.7,33.4
"Mean Hours Worked",2018,"Belfast","Full Time",37.7,38.9,38.4
"Mean Hours Worked",2018,"Belfast","Part Time",19.2,17.3,18.6
"Mean Hours Worked",2018,"Causeway Coast and Glens","All Jobs",29.3,38.1,33.5
"Mean Hours Worked",2018,"Causeway Coast and Glens","Full Time",36.9,42.2,39.9
"Mean Hours Worked",2018,"Causeway Coast and Glens","Part Time",19.3,18.7,19.2
"Mean Hours Worked",2018,"Derry City and Strabane","All Jobs",28.1,35.5,31.2
"Mean Hours Worked",2018,"Derry City and Strabane","Full Time",36.5,39.8,38.2
"Mean Hours Worked",2018,"Derry City and Strabane","Part Time",18.4,19.2,18.6
"Mean Hours Worked",2018,"Fermanagh and Omagh","All Jobs",27.4,37,31.7
"Mean Hours Worked",2018,"Fermanagh and Omagh","Full Time",35.9,42.2,39.5
"Mean Hours Worked",2018,"Fermanagh and Omagh","Part Time",19,17.4,18.6
"Mean Hours Worked",2018,"Lisburn and Castlereagh","All Jobs",30,37.4,33.6
"Mean Hours Worked",2018,"Lisburn and Castlereagh","Full Time",37.9,41.4,39.9
"Mean Hours Worked",2018,"Lisburn and Castlereagh","Part Time",19,16.9,18.4
"Mean Hours Worked",2018,"Mid and East Antrim","All Jobs",28.9,37.4,33.4
"Mean Hours Worked",2018,"Mid and East Antrim","Full Time",37.4,40.8,39.6
"Mean Hours Worked",2018,"Mid and East Antrim","Part Time",18.9,19.5,19.1
"Mean Hours Worked",2018,"Mid Ulster","All Jobs",29.7,38.9,35.3
"Mean Hours Worked",2018,"Mid Ulster","Full Time",37.7,42.3,41
"Mean Hours Worked",2018,"Mid Ulster","Part Time",19.6,17,18.8
"Mean Hours Worked",2018,"Newry, Mourne and Down","All Jobs",28.5,37.3,32.9
"Mean Hours Worked",2018,"Newry, Mourne and Down","Full Time",38.3,41.8,40.4
"Mean Hours Worked",2018,"Newry, Mourne and Down","Part Time",18.3,16.9,17.9
"Mean Hours Worked",2018,"Northern Ireland","All Jobs",29.7,37.3,33.6
"Mean Hours Worked",2018,"Northern Ireland","Full Time",37.6,40.9,39.6
"Mean Hours Worked",2018,"Northern Ireland","Part Time",19.1,17.9,18.8
"Mean Hours Worked",2019,"Antrim and Newtownabbey","All Jobs",29.3,37.3,33.1
"Mean Hours Worked",2019,"Antrim and Newtownabbey","Full Time",37.4,40.5,39.2
"Mean Hours Worked",2019,"Antrim and Newtownabbey","Part Time",18.1,18,18.1
"Mean Hours Worked",2019,"Ards and North Down","All Jobs",28,34.2,30.5
"Mean Hours Worked",2019,"Ards and North Down","Full Time",38,40.2,39.1
"Mean Hours Worked",2019,"Ards and North Down","Part Time",18.4,16.5,17.9
"Mean Hours Worked",2019,"Armagh City, Banbridge and Craigavon","All Jobs",29.6,37.7,33.3
"Mean Hours Worked",2019,"Armagh City, Banbridge and Craigavon","Full Time",37.9,41.8,40.1
"Mean Hours Worked",2019,"Armagh City, Banbridge and Craigavon","Part Time",19.4,17.8,19
"Mean Hours Worked",2019,"Belfast","All Jobs",30.8,36.5,33.7
"Mean Hours Worked",2019,"Belfast","Full Time",38,39.1,38.7
"Mean Hours Worked",2019,"Belfast","Part Time",19.5,18.6,19.3
"Mean Hours Worked",2019,"Causeway Coast and Glens","All Jobs",29.3,37.2,33
"Mean Hours Worked",2019,"Causeway Coast and Glens","Full Time",37,41.8,39.7
"Mean Hours Worked",2019,"Causeway Coast and Glens","Part Time",20.4,15.3,19.1
"Mean Hours Worked",2019,"Derry City and Strabane","All Jobs",27.2,34.1,30.3
"Mean Hours Worked",2019,"Derry City and Strabane","Full Time",37,39.6,38.4
"Mean Hours Worked",2019,"Derry City and Strabane","Part Time",17.1,16.6,16.9
"Mean Hours Worked",2019,"Fermanagh and Omagh","All Jobs",28.6,37.3,32.7
"Mean Hours Worked",2019,"Fermanagh and Omagh","Full Time",37,41.8,39.9
"Mean Hours Worked",2019,"Fermanagh and Omagh","Part Time",20.7,15.7,19.5
"Mean Hours Worked",2019,"Lisburn and Castlereagh","All Jobs",29.4,38.2,33.8
"Mean Hours Worked",2019,"Lisburn and Castlereagh","Full Time",38.6,41.7,40.4
"Mean Hours Worked",2019,"Lisburn and Castlereagh","Part Time",18.6,18.5,18.6
"Mean Hours Worked",2019,"Mid and East Antrim","All Jobs",28.5,36.7,32.6
"Mean Hours Worked",2019,"Mid and East Antrim","Full Time",37.4,41.2,39.7
"Mean Hours Worked",2019,"Mid and East Antrim","Part Time",19.5,15.5,18.5
"Mean Hours Worked",2019,"Mid Ulster","All Jobs",29,40,35.8
"Mean Hours Worked",2019,"Mid Ulster","Full Time",37.7,43.7,41.9
"Mean Hours Worked",2019,"Mid Ulster","Part Time",17.4,18.5,17.8
"Mean Hours Worked",2019,"Newry, Mourne and Down","All Jobs",29.3,38.2,33.4
"Mean Hours Worked",2019,"Newry, Mourne and Down","Full Time",39.1,42,40.8
"Mean Hours Worked",2019,"Newry, Mourne and Down","Part Time",18.8,16.8,18.4
"Mean Hours Worked",2019,"Northern Ireland","All Jobs",29.5,37.3,33.4
"Mean Hours Worked",2019,"Northern Ireland","Full Time",37.9,41,39.8
"Mean Hours Worked",2019,"Northern Ireland","Part Time",19,17.4,18.6
"Mean Hours Worked",2020,"Antrim and Newtownabbey","All Jobs",29,36.7,32.5
"Mean Hours Worked",2020,"Antrim and Newtownabbey","Full Time",37.1,40.9,39.3
"Mean Hours Worked",2020,"Antrim and Newtownabbey","Part Time",19.3,15.4,18.4
"Mean Hours Worked",2020,"Ards and North Down","All Jobs",28.7,35.5,31.8
"Mean Hours Worked",2020,"Ards and North Down","Full Time",37.8,40.8,39.4
"Mean Hours Worked",2020,"Ards and North Down","Part Time",19,20.4,19.4
"Mean Hours Worked",2020,"Armagh City, Banbridge and Craigavon","All Jobs",30.1,36.8,33.4
"Mean Hours Worked",2020,"Armagh City, Banbridge and Craigavon","Full Time",37.7,40,39.1
"Mean Hours Worked",2020,"Armagh City, Banbridge and Craigavon","Part Time",20.4,19,20
"Mean Hours Worked",2020,"Belfast","All Jobs",31.1,36.5,33.7
"Mean Hours Worked",2020,"Belfast","Full Time",37.7,39,38.4
"Mean Hours Worked",2020,"Belfast","Part Time",19.5,19.7,19.5
"Mean Hours Worked",2020,"Causeway Coast and Glens","All Jobs",29.6,37.3,33
"Mean Hours Worked",2020,"Causeway Coast and Glens","Full Time",37.1,39.8,38.6
"Mean Hours Worked",2020,"Causeway Coast and Glens","Part Time",21.2,21.1,21.1
"Mean Hours Worked",2020,"Derry City and Strabane","All Jobs",27,34.4,30.5
"Mean Hours Worked",2020,"Derry City and Strabane","Full Time",36.4,39.6,38.2
"Mean Hours Worked",2020,"Derry City and Strabane","Part Time",16.8,19.9,17.8
"Mean Hours Worked",2020,"Fermanagh and Omagh","All Jobs",28.3,36.6,32.1
"Mean Hours Worked",2020,"Fermanagh and Omagh","Full Time",36.1,40.8,38.9
"Mean Hours Worked",2020,"Fermanagh and Omagh","Part Time",21.1,15.9,20
"Mean Hours Worked",2020,"Lisburn and Castlereagh","All Jobs",29.4,36.6,32.8
"Mean Hours Worked",2020,"Lisburn and Castlereagh","Full Time",38.2,40.5,39.5
"Mean Hours Worked",2020,"Lisburn and Castlereagh","Part Time",18.3,19.9,18.7
"Mean Hours Worked",2020,"Mid and East Antrim","All Jobs",29.4,36.5,33
"Mean Hours Worked",2020,"Mid and East Antrim","Full Time",37.3,41,39.5
"Mean Hours Worked",2020,"Mid and East Antrim","Part Time",19.3,13.9,17.7
"Mean Hours Worked",2020,"Mid Ulster","All Jobs",29.1,36.2,33.4
"Mean Hours Worked",2020,"Mid Ulster","Full Time",37.6,40.4,39.6
"Mean Hours Worked",2020,"Mid Ulster","Part Time",18.3,17.5,18
"Mean Hours Worked",2020,"Newry, Mourne and Down","All Jobs",30.4,36.6,33.3
"Mean Hours Worked",2020,"Newry, Mourne and Down","Full Time",38.2,40.8,39.7
"Mean Hours Worked",2020,"Newry, Mourne and Down","Part Time",19.8,17.7,19.2
"Mean Hours Worked",2020,"Northern Ireland","All Jobs",29.8,36.6,33.2
"Mean Hours Worked",2020,"Northern Ireland","Full Time",37.6,40.1,39.1
"Mean Hours Worked",2020,"Northern Ireland","Part Time",19.4,18.6,19.2
"Mean Hours Worked",2021,"Antrim and Newtownabbey","All Jobs",29.2,37.4,33
"Mean Hours Worked",2021,"Antrim and Newtownabbey","Full Time",36.8,40.8,39.1
"Mean Hours Worked",2021,"Antrim and Newtownabbey","Part Time",18.9,17.8,18.7
"Mean Hours Worked",2021,"Ards and North Down","All Jobs",27.7,35.4,31
"Mean Hours Worked",2021,"Ards and North Down","Full Time",38,40.1,39.2
"Mean Hours Worked",2021,"Ards and North Down","Part Time",18.9,17.8,18.6
"Mean Hours Worked",2021,"Armagh City, Banbridge and Craigavon","All Jobs",29.7,36.1,32.7
"Mean Hours Worked",2021,"Armagh City, Banbridge and Craigavon","Full Time",37.8,40.3,39.2
"Mean Hours Worked",2021,"Armagh City, Banbridge and Craigavon","Part Time",19.6,18.3,19.3
"Mean Hours Worked",2021,"Belfast","All Jobs",31.7,36.5,34.1
"Mean Hours Worked",2021,"Belfast","Full Time",37.7,38.8,38.4
"Mean Hours Worked",2021,"Belfast","Part Time",19.8,18.7,19.5
"Mean Hours Worked",2021,"Causeway Coast and Glens","All Jobs",27.3,36.9,31.5
"Mean Hours Worked",2021,"Causeway Coast and Glens","Full Time",36.6,40.5,38.8
"Mean Hours Worked",2021,"Causeway Coast and Glens","Part Time",18,18.6,18.1
"Mean Hours Worked",2021,"Derry City and Strabane","All Jobs",28.2,34.7,31.2
"Mean Hours Worked",2021,"Derry City and Strabane","Full Time",36.4,38.8,37.7
"Mean Hours Worked",2021,"Derry City and Strabane","Part Time",18.2,18.6,18.3
"Mean Hours Worked",2021,"Fermanagh and Omagh","All Jobs",27.9,36,31.5
"Mean Hours Worked",2021,"Fermanagh and Omagh","Full Time",37.3,41.3,39.6
"Mean Hours Worked",2021,"Fermanagh and Omagh","Part Time",18.4,14.7,17.4
"Mean Hours Worked",2021,"Lisburn and Castlereagh","All Jobs",29.7,37.8,33.7
"Mean Hours Worked",2021,"Lisburn and Castlereagh","Full Time",37.5,40.7,39.4
"Mean Hours Worked",2021,"Lisburn and Castlereagh","Part Time",19.3,17.9,19
"Mean Hours Worked",2021,"Mid and East Antrim","All Jobs",28.1,36.3,31.9
"Mean Hours Worked",2021,"Mid and East Antrim","Full Time",37.1,41.4,39.6
"Mean Hours Worked",2021,"Mid and East Antrim","Part Time",19.5,15.5,18.5
"Mean Hours Worked",2021,"Mid Ulster","All Jobs",29.6,38.3,34.9
"Mean Hours Worked",2021,"Mid Ulster","Full Time",37.3,42,40.6
"Mean Hours Worked",2021,"Mid Ulster","Part Time",18.7,14.8,17.4
"Mean Hours Worked",2021,"Newry, Mourne and Down","All Jobs",30.2,35.9,32.8
"Mean Hours Worked",2021,"Newry, Mourne and Down","Full Time",37.7,40.7,39.3
"Mean Hours Worked",2021,"Newry, Mourne and Down","Part Time",19.5,18.8,19.3
"Mean Hours Worked",2021,"Northern Ireland","All Jobs",29.8,36.8,33.2
"Mean Hours Worked",2021,"Northern Ireland","Full Time",37.5,40.2,39.1
"Mean Hours Worked",2021,"Northern Ireland","Part Time",19.2,17.7,18.8
"Mean Hours Worked",2022,"Antrim and Newtownabbey","All Jobs",30.1,37.5,33.2
"Mean Hours Worked",2022,"Antrim and Newtownabbey","Full Time",37.8,40.6,39.2
"Mean Hours Worked",2022,"Antrim and Newtownabbey","Part Time",18.1,16.8,17.9
"Mean Hours Worked",2022,"Ards and North Down","All Jobs",27,35.1,30.6
"Mean Hours Worked",2022,"Ards and North Down","Full Time",37.8,39.4,38.7
"Mean Hours Worked",2022,"Ards and North Down","Part Time",18.5,18.8,18.6
"Mean Hours Worked",2022,"Armagh City, Banbridge and Craigavon","All Jobs",29.2,37.6,33
"Mean Hours Worked",2022,"Armagh City, Banbridge and Craigavon","Full Time",37,41,39.2
"Mean Hours Worked",2022,"Armagh City, Banbridge and Craigavon","Part Time",19.5,17.4,19.1
"Mean Hours Worked",2022,"Belfast","All Jobs",31.5,36.4,34
"Mean Hours Worked",2022,"Belfast","Full Time",37.9,39.1,38.6
"Mean Hours Worked",2022,"Belfast","Part Time",19.5,16.4,18.7
"Mean Hours Worked",2022,"Causeway Coast and Glens","All Jobs",29.4,38,33.3
"Mean Hours Worked",2022,"Causeway Coast and Glens","Full Time",36.6,41.2,39.2
"Mean Hours Worked",2022,"Causeway Coast and Glens","Part Time",20.7,17.6,20.1
"Mean Hours Worked",2022,"Derry City and Strabane","All Jobs",28.4,34.8,31.5
"Mean Hours Worked",2022,"Derry City and Strabane","Full Time",36.6,39.1,38
"Mean Hours Worked",2022,"Derry City and Strabane","Part Time",17.9,16.4,17.4
"Mean Hours Worked",2022,"Fermanagh and Omagh","All Jobs",28.5,36.3,32.1
"Mean Hours Worked",2022,"Fermanagh and Omagh","Full Time",36.6,40.6,39
"Mean Hours Worked",2022,"Fermanagh and Omagh","Part Time",19.7,16.2,18.9
"Mean Hours Worked",2022,"Lisburn and Castlereagh","All Jobs",29.3,36.1,32.6
"Mean Hours Worked",2022,"Lisburn and Castlereagh","Full Time",37.6,40.1,39
"Mean Hours Worked",2022,"Lisburn and Castlereagh","Part Time",17.6,18.1,17.7
"Mean Hours Worked",2022,"Mid and East Antrim","All Jobs",28.3,37.2,32.3
"Mean Hours Worked",2022,"Mid and East Antrim","Full Time",37.4,41.1,39.5
"Mean Hours Worked",2022,"Mid and East Antrim","Part Time",17.9,19,18.2
"Mean Hours Worked",2022,"Mid Ulster","All Jobs",29.9,38.6,35.3
"Mean Hours Worked",2022,"Mid Ulster","Full Time",38,41.8,40.7
"Mean Hours Worked",2022,"Mid Ulster","Part Time",18.9,16.2,18
"Mean Hours Worked",2022,"Newry, Mourne and Down","All Jobs",28.9,36.9,32.8
"Mean Hours Worked",2022,"Newry, Mourne and Down","Full Time",37.3,40.5,39.2
"Mean Hours Worked",2022,"Newry, Mourne and Down","Part Time",18.5,18.5,18.5
"Mean Hours Worked",2022,"Northern Ireland","All Jobs",29.8,37.1,33.4
"Mean Hours Worked",2022,"Northern Ireland","Full Time",37.5,40.3,39.2
"Mean Hours Worked",2022,"Northern Ireland","Part Time",18.9,17.2,18.5
"Mean Hours Worked",2023,"Antrim and Newtownabbey","All Jobs",29.5,38.9,33.9
"Mean Hours Worked",2023,"Antrim and Newtownabbey","Full Time",38.2,41.4,40
"Mean Hours Worked",2023,"Antrim and Newtownabbey","Part Time",18,22.1,18.9
"Mean Hours Worked",2023,"Ards and North Down","All Jobs",27.3,33.9,29.9
"Mean Hours Worked",2023,"Ards and North Down","Full Time",37.4,39,38.2
"Mean Hours Worked",2023,"Ards and North Down","Part Time",17.3,16.6,17.2
"Mean Hours Worked",2023,"Armagh City, Banbridge and Craigavon","All Jobs",28.9,35.9,32.1
"Mean Hours Worked",2023,"Armagh City, Banbridge and Craigavon","Full Time",37.3,39.8,38.8
"Mean Hours Worked",2023,"Armagh City, Banbridge and Craigavon","Part Time",19.7,15.2,18.7
"Mean Hours Worked",2023,"Belfast","All Jobs",31.6,35.8,33.7
"Mean Hours Worked",2023,"Belfast","Full Time",37.8,38.9,38.4
"Mean Hours Worked",2023,"Belfast","Part Time",19.1,17.7,18.7
"Mean Hours Worked",2023,"Causeway Coast and Glens","All Jobs",30.2,35.1,32.4
"Mean Hours Worked",2023,"Causeway Coast and Glens","Full Time",36.5,39.8,38.2
"Mean Hours Worked",2023,"Causeway Coast and Glens","Part Time",20.4,18.3,19.7
"Mean Hours Worked",2023,"Derry City and Strabane","All Jobs",28.1,34.5,31.2
"Mean Hours Worked",2023,"Derry City and Strabane","Full Time",36.7,39.8,38.5
"Mean Hours Worked",2023,"Derry City and Strabane","Part Time",17.7,16.8,17.4
"Mean Hours Worked",2023,"Fermanagh and Omagh","All Jobs",28.4,35,31.5
"Mean Hours Worked",2023,"Fermanagh and Omagh","Full Time",37.5,39.9,38.9
"Mean Hours Worked",2023,"Fermanagh and Omagh","Part Time",19.4,15.6,18.4
"Mean Hours Worked",2023,"Lisburn and Castlereagh","All Jobs",29,36.1,32.4
"Mean Hours Worked",2023,"Lisburn and Castlereagh","Full Time",38.2,40.4,39.5
"Mean Hours Worked",2023,"Lisburn and Castlereagh","Part Time",17.8,17.5,17.7
"Mean Hours Worked",2023,"Mid and East Antrim","All Jobs",28.6,35.9,32.2
"Mean Hours Worked",2023,"Mid and East Antrim","Full Time",37.5,41.1,39.6
"Mean Hours Worked",2023,"Mid and East Antrim","Part Time",18.1,15.5,17.3
"Mean Hours Worked",2023,"Mid Ulster","All Jobs",30.3,37.7,34.6
"Mean Hours Worked",2023,"Mid Ulster","Full Time",38.7,41.6,40.7
"Mean Hours Worked",2023,"Mid Ulster","Part Time",19.2,16.8,18.4
"Mean Hours Worked",2023,"Newry, Mourne and Down","All Jobs",29,35.2,31.9
"Mean Hours Worked",2023,"Newry, Mourne and Down","Full Time",37.7,39.8,38.9
"Mean Hours Worked",2023,"Newry, Mourne and Down","Part Time",19.3,15.7,18.4
"Mean Hours Worked",2023,"Northern Ireland","All Jobs",29.8,36.1,32.9
"Mean Hours Worked",2023,"Northern Ireland","Full Time",37.7,40,39
"Mean Hours Worked",2023,"Northern Ireland","Part Time",18.8,17.1,18.3
"Mean Hours Worked",2024,"Antrim and Newtownabbey","All Jobs",29.8,37.2,33.2
"Mean Hours Worked",2024,"Antrim and Newtownabbey","Full Time",37.8,39.9,39
"Mean Hours Worked",2024,"Antrim and Newtownabbey","Part Time",18.2,20.8,18.8
"Mean Hours Worked",2024,"Ards and North Down","All Jobs",26.5,33,29.2
"Mean Hours Worked",2024,"Ards and North Down","Full Time",37.4,38.6,38
"Mean Hours Worked",2024,"Ards and North Down","Part Time",17,17.3,17.1
"Mean Hours Worked",2024,"Armagh City, Banbridge and Craigavon","All Jobs",29.5,36.3,32.6
"Mean Hours Worked",2024,"Armagh City, Banbridge and Craigavon","Full Time",37.1,40.9,39.2
"Mean Hours Worked",2024,"Armagh City, Banbridge and Craigavon","Part Time",20,16.3,19
"Mean Hours Worked",2024,"Belfast","All Jobs",31.5,35.8,33.6
"Mean Hours Worked",2024,"Belfast","Full Time",37.4,38.8,38.2
"Mean Hours Worked",2024,"Belfast","Part Time",18.6,17.8,18.3
"Mean Hours Worked",2024,"Causeway Coast and Glens","All Jobs",27.9,35.8,31.6
"Mean Hours Worked",2024,"Causeway Coast and Glens","Full Time",36.6,40.5,38.8
"Mean Hours Worked",2024,"Causeway Coast and Glens","Part Time",18.3,17.7,18.2
"Mean Hours Worked",2024,"Derry City and Strabane","All Jobs",28.4,34.7,31.3
"Mean Hours Worked",2024,"Derry City and Strabane","Full Time",36.9,40.2,38.7
"Mean Hours Worked",2024,"Derry City and Strabane","Part Time",18.1,16.4,17.6
"Mean Hours Worked",2024,"Fermanagh and Omagh","All Jobs",27.8,35,31.3
"Mean Hours Worked",2024,"Fermanagh and Omagh","Full Time",37.9,39.7,39
"Mean Hours Worked",2024,"Fermanagh and Omagh","Part Time",18.2,16.3,17.7
"Mean Hours Worked",2024,"Lisburn and Castlereagh","All Jobs",29.1,35.6,32
"Mean Hours Worked",2024,"Lisburn and Castlereagh","Full Time",37.8,40.8,39.4
"Mean Hours Worked",2024,"Lisburn and Castlereagh","Part Time",17.4,17.2,17.3
"Mean Hours Worked",2024,"Mid and East Antrim","All Jobs",28.7,36.4,32.7
"Mean Hours Worked",2024,"Mid and East Antrim","Full Time",37.7,40.6,39.5
"Mean Hours Worked",2024,"Mid and East Antrim","Part Time",18.4,14.3,17.3
"Mean Hours Worked",2024,"Mid Ulster","All Jobs",29.9,38.4,34.9
"Mean Hours Worked",2024,"Mid Ulster","Full Time",38.3,41.6,40.6
"Mean Hours Worked",2024,"Mid Ulster","Part Time",18.4,17.8,18.2
"Mean Hours Worked",2024,"Newry, Mourne and Down","All Jobs",29.2,34.9,31.8
"Mean Hours Worked",2024,"Newry, Mourne and Down","Full Time",38.3,40.3,39.4
"Mean Hours Worked",2024,"Newry, Mourne and Down","Part Time",18.2,16.9,17.9
"Mean Hours Worked",2024,"Northern Ireland","All Jobs",29.7,36,32.8
"Mean Hours Worked",2024,"Northern Ireland","Full Time",37.5,40,38.9
"Mean Hours Worked",2024,"Northern Ireland","Part Time",18.4,17.2,18
"Mean Hours Worked",2025,"Antrim and Newtownabbey","All Jobs",30.1,37.4,33.6
"Mean Hours Worked",2025,"Antrim and Newtownabbey","Full Time",37.6,40.7,39.4
"Mean Hours Worked",2025,"Antrim and Newtownabbey","Part Time",19,16.7,18.4
"Mean Hours Worked",2025,"Ards and North Down","All Jobs",27.6,32.5,29.7
"Mean Hours Worked",2025,"Ards and North Down","Full Time",37.7,38.7,38.2
"Mean Hours Worked",2025,"Ards and North Down","Part Time",17.7,17.8,17.7
"Mean Hours Worked",2025,"Armagh City, Banbridge and Craigavon","All Jobs",30.6,36.4,33.2
"Mean Hours Worked",2025,"Armagh City, Banbridge and Craigavon","Full Time",38.5,40.2,39.4
"Mean Hours Worked",2025,"Armagh City, Banbridge and Craigavon","Part Time",19.6,17.7,19.1
"Mean Hours Worked",2025,"Belfast","All Jobs",30.9,35.7,33.2
"Mean Hours Worked",2025,"Belfast","Full Time",37.5,38.8,38.2
"Mean Hours Worked",2025,"Belfast","Part Time",18.1,16.7,17.7
"Mean Hours Worked",2025,"Causeway Coast and Glens","All Jobs",27.8,34.8,31
"Mean Hours Worked",2025,"Causeway Coast and Glens","Full Time",36.8,40,38.5
"Mean Hours Worked",2025,"Causeway Coast and Glens","Part Time",18.9,19.7,19.1
"Mean Hours Worked",2025,"Derry City and Strabane","All Jobs",29,35.6,32
"Mean Hours Worked",2025,"Derry City and Strabane","Full Time",36.3,39.4,38
"Mean Hours Worked",2025,"Derry City and Strabane","Part Time",19.1,16.9,18.6
"Mean Hours Worked",2025,"Fermanagh and Omagh","All Jobs",28,36.6,32.2
"Mean Hours Worked",2025,"Fermanagh and Omagh","Full Time",36.6,40.5,38.9
"Mean Hours Worked",2025,"Fermanagh and Omagh","Part Time",18.7,17,18.3
"Mean Hours Worked",2025,"Lisburn and Castlereagh","All Jobs",29.7,35.9,32.6
"Mean Hours Worked",2025,"Lisburn and Castlereagh","Full Time",38.5,40.3,39.5
"Mean Hours Worked",2025,"Lisburn and Castlereagh","Part Time",18.3,15.6,17.6
"Mean Hours Worked",2025,"Mid and East Antrim","All Jobs",29.6,37.7,33.6
"Mean Hours Worked",2025,"Mid and East Antrim","Full Time",38.1,40.8,39.7
"Mean Hours Worked",2025,"Mid and East Antrim","Part Time",18.6,18.7,18.6
"Mean Hours Worked",2025,"Mid Ulster","All Jobs",29.2,38.1,34
"Mean Hours Worked",2025,"Mid Ulster","Full Time",37.9,41.5,40.2
"Mean Hours Worked",2025,"Mid Ulster","Part Time",18.5,16,17.8
"Mean Hours Worked",2025,"Newry, Mourne and Down","All Jobs",28.1,35.3,31
"Mean Hours Worked",2025,"Newry, Mourne and Down","Full Time",38.4,39.9,39.2
"Mean Hours Worked",2025,"Newry, Mourne and Down","Part Time",18.6,19.9,18.9
"Mean Hours Worked",2025,"Northern Ireland","All Jobs",29.7,36.2,32.8
"Mean Hours Worked",2025,"Northern Ireland","Full Time",37.7,39.9,38.9
"Mean Hours Worked",2025,"Northern Ireland","Part Time",18.6,17.4,18.3
