"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2017,"Northern Ireland","Full Time",227,355,582
"Number of Jobs (Thousands)",2017,"Northern Ireland","Part Time",179,63,242
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","All Jobs",28,28,55
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","Full Time",17,24,42
"Number of Jobs (Thousands)",2018,"Antrim and Newtownabbey","Part Time",10,NA,14
"Number of Jobs (Thousands)",2018,"Ards and North Down","All Jobs",24,16,40
"Number of Jobs (Thousands)",2018,"Ards and North Down","Full Time",11,12,23
"Number of Jobs (Thousands)",2018,"Ards and North Down","Part Time",13,NA,17
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","All Jobs",38,39,76
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","Full Time",21,33,54
"Number of Jobs (Thousands)",2018,"Armagh City, Banbridge and Craigavon","Part Time",17,6,22
"Number of Jobs (Thousands)",2018,"Belfast","All Jobs",110,119,229
"Number of Jobs (Thousands)",2018,"Belfast","Full Time",69,101,170
"Number of Jobs (Thousands)",2018,"Belfast","Part Time",41,18,59
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","All Jobs",20,18,38
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","Full Time",11,15,26
"Number of Jobs (Thousands)",2018,"Causeway Coast and Glens","Part Time",9,NA,12
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","All Jobs",32,23,55
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","Full Time",17,18,36
"Number of Jobs (Thousands)",2018,"Derry City and Strabane","Part Time",15,5,20
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","All Jobs",24,20,43
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","Full Time",12,15,27
"Number of Jobs (Thousands)",2018,"Fermanagh and Omagh","Part Time",12,NA,16
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","All Jobs",31,30,61
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","Full Time",18,25,43
"Number of Jobs (Thousands)",2018,"Lisburn and Castlereagh","Part Time",13,5,18
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","All Jobs",24,27,52
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","Full Time",13,23,36
"Number of Jobs (Thousands)",2018,"Mid and East Antrim","Part Time",11,4,15
"Number of Jobs (Thousands)",2018,"Mid Ulster","All Jobs",22,36,58
"Number of Jobs (Thousands)",2018,"Mid Ulster","Full Time",12,31,43
"Number of Jobs (Thousands)",2018,"Mid Ulster","Part Time",10,5,15
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","All Jobs",31,31,62
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","Full Time",16,25,41
"Number of Jobs (Thousands)",2018,"Newry, Mourne and Down","Part Time",15,6,21
"Number of Jobs (Thousands)",2018,"Northern Ireland","All Jobs",390,402,792
"Number of Jobs (Thousands)",2018,"Northern Ireland","Full Time",224,340,564
"Number of Jobs (Thousands)",2018,"Northern Ireland","Part Time",166,62,228
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","All Jobs",33,29,62
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","Full Time",19,25,44
"Number of Jobs (Thousands)",2019,"Antrim and Newtownabbey","Part Time",14,4,18
"Number of Jobs (Thousands)",2019,"Ards and North Down","All Jobs",28,19,47
"Number of Jobs (Thousands)",2019,"Ards and North Down","Full Time",14,14,28
"Number of Jobs (Thousands)",2019,"Ards and North Down","Part Time",14,5,19
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","All Jobs",50,42,92
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","Full Time",27,35,63
"Number of Jobs (Thousands)",2019,"Armagh City, Banbridge and Craigavon","Part Time",23,7,30
"Number of Jobs (Thousands)",2019,"Belfast","All Jobs",124,127,251
"Number of Jobs (Thousands)",2019,"Belfast","Full Time",76,111,187
"Number of Jobs (Thousands)",2019,"Belfast","Part Time",48,16,65
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","All Jobs",24,21,45
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","Full Time",13,17,30
"Number of Jobs (Thousands)",2019,"Causeway Coast and Glens","Part Time",11,NA,15
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","All Jobs",35,29,63
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","Full Time",18,22,39
"Number of Jobs (Thousands)",2019,"Derry City and Strabane","Part Time",17,7,24
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","All Jobs",24,22,45
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","Full Time",11,18,29
"Number of Jobs (Thousands)",2019,"Fermanagh and Omagh","Part Time",12,NA,16
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","All Jobs",34,33,67
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","Full Time",18,28,46
"Number of Jobs (Thousands)",2019,"Lisburn and Castlereagh","Part Time",15,5,20
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","All Jobs",26,26,52
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Full Time",13,21,34
"Number of Jobs (Thousands)",2019,"Mid and East Antrim","Part Time",13,4,18
"Number of Jobs (Thousands)",2019,"Mid Ulster","All Jobs",25,40,65
"Number of Jobs (Thousands)",2019,"Mid Ulster","Full Time",14,34,49
"Number of Jobs (Thousands)",2019,"Mid Ulster","Part Time",11,6,17
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","All Jobs",35,30,65
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Full Time",18,26,44
"Number of Jobs (Thousands)",2019,"Newry, Mourne and Down","Part Time",17,5,22
"Number of Jobs (Thousands)",2019,"Northern Ireland","All Jobs",441,431,873
"Number of Jobs (Thousands)",2019,"Northern Ireland","Full Time",245,365,610
"Number of Jobs (Thousands)",2019,"Northern Ireland","Part Time",196,67,263
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","All Jobs",38,33,71
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Full Time",21,27,48
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Part Time",18,NA,23
"Number of Jobs (Thousands)",2020,"Ards and North Down","All Jobs",28,23,51
"Number of Jobs (Thousands)",2020,"Ards and North Down","Full Time",15,17,32
"Number of Jobs (Thousands)",2020,"Ards and North Down","Part Time",14,NA,19
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","All Jobs",54,53,108
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Full Time",30,45,75
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Part Time",24,8,32
"Number of Jobs (Thousands)",2020,"Belfast","All Jobs",148,142,290
"Number of Jobs (Thousands)",2020,"Belfast","Full Time",94,123,217
"Number of Jobs (Thousands)",2020,"Belfast","Part Time",53,19,72
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","All Jobs",31,25,56
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Full Time",16,21,38
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Part Time",15,NA,18
