"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2020,"Northern Ireland","Part-Time",247,188,59
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","All",59,34,25
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Full-Time",40,19,21
"Number of Jobs (Thousands)",2020,"Antrim and Newtownabbey","Part-Time",19,NA,NA
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","All",91,48,43
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Full-Time",61,25,37
"Number of Jobs (Thousands)",2020,"Armagh City, Banbridge and Craigavon","Part-Time",29,23,NA
"Number of Jobs (Thousands)",2020,"Belfast","All",242,124,118
"Number of Jobs (Thousands)",2020,"Belfast","Full-Time",183,79,104
"Number of Jobs (Thousands)",2020,"Belfast","Part-Time",59,45,NA
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","All",49,26,23
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Full-Time",35,15,20
"Number of Jobs (Thousands)",2020,"Causeway Coast and Glens","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","All",61,33,28
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Full-Time",38,17,NA
"Number of Jobs (Thousands)",2020,"Derry City and Strabane","Part-Time",23,16,NA
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","All",45,26,NA
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","Full-Time",28,12,16
"Number of Jobs (Thousands)",2020,"Fermanagh and Omagh","Part-Time",NA,14,NA
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","All",61,33,29
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","Full-Time",43,19,24
"Number of Jobs (Thousands)",2020,"Lisburn and Castlereagh","Part-Time",18,14,NA
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","All",47,25,21
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","Full-Time",32,NA,18
"Number of Jobs (Thousands)",2020,"Mid and East Antrim","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2020,"Mid Ulster","All",59,24,35
"Number of Jobs (Thousands)",2020,"Mid Ulster","Full-Time",44,14,30
"Number of Jobs (Thousands)",2020,"Mid Ulster","Part-Time",15,10,NA
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","All",65,34,31
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","Full-Time",45,18,26
"Number of Jobs (Thousands)",2020,"Newry, Mourne and Down","Part-Time",20,15,NA
"Number of Jobs (Thousands)",2020,"Ards and North Down","All",42,24,18
"Number of Jobs (Thousands)",2020,"Ards and North Down","Full-Time",26,12,14
"Number of Jobs (Thousands)",2020,"Ards and North Down","Part-Time",17,12,NA
"Number of Jobs (Thousands)",2021,"Northern Ireland","All",895,458,436
"Number of Jobs (Thousands)",2021,"Northern Ireland","Full-Time",641,269,372
"Number of Jobs (Thousands)",2021,"Northern Ireland","Part-Time",253,189,64
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","All",62,34,28
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Full-Time",44,20,24
"Number of Jobs (Thousands)",2021,"Antrim and Newtownabbey","Part-Time",18,14,NA
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","All",93,50,43
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Full-Time",63,NA,35
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Part-Time",31,23,8
"Number of Jobs (Thousands)",2021,"Belfast","All",267,134,133
"Number of Jobs (Thousands)",2021,"Belfast","Full-Time",207,89,118
"Number of Jobs (Thousands)",2021,"Belfast","Part-Time",60,45,15
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","All",46,26,20
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Full-Time",31,14,17
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","All",64,34,30
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Full-Time",42,18,NA
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","All",47,26,21
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Full-Time",30,14,17
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","All",NA,36,NA
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Full-Time",NA,21,NA
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Part-Time",19,15,NA
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","All",49,27,22
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Full-Time",32,NA,18
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2021,"Mid Ulster","All",62,25,37
"Number of Jobs (Thousands)",2021,"Mid Ulster","Full-Time",47,15,32
"Number of Jobs (Thousands)",2021,"Mid Ulster","Part-Time",NA,10,NA
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","All",67,34,33
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Full-Time",45,19,26
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Part-Time",22,NA,NA
"Number of Jobs (Thousands)",2021,"Ards and North Down","All",44,25,19
"Number of Jobs (Thousands)",2021,"Ards and North Down","Full-Time",27,12,16
"Number of Jobs (Thousands)",2021,"Ards and North Down","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2022,"Northern Ireland","All",907,467,441
"Number of Jobs (Thousands)",2022,"Northern Ireland","Full-Time",662,278,384
"Number of Jobs (Thousands)",2022,"Northern Ireland","Part-Time",245,189,56
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","All",60,36,24
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Full-Time",43,22,NA
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","All",92,53,39
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Full-Time",64,30,35
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Part-Time",28,23,NA
"Number of Jobs (Thousands)",2022,"Belfast","All",269,132,136
"Number of Jobs (Thousands)",2022,"Belfast","Full-Time",208,85,122
"Number of Jobs (Thousands)",2022,"Belfast","Part-Time",61,47,14
