"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Mean Wage",2020,"Lisburn and Castlereagh","Part-Time",11523,11419,11859
"Mean Wage",2020,"Mid and East Antrim","All",24333,19036,30639
"Mean Wage",2020,"Mid and East Antrim","Full-Time",30613,25977,34016
"Mean Wage",2020,"Mid and East Antrim","Part-Time",11048,11238,10301
"Mean Wage",2020,"Mid Ulster","All",24203,19885,27101
"Mean Wage",2020,"Mid Ulster","Full-Time",29069,26628,30186
"Mean Wage",2020,"Mid Ulster","Part-Time",9789,10398,8603
"Mean Wage",2020,"Newry, Mourne and Down","All",25713,21142,30610
"Mean Wage",2020,"Newry, Mourne and Down","Full-Time",31675,28266,34044
"Mean Wage",2020,"Newry, Mourne and Down","Part-Time",12488,12556,12277
"Mean Wage",2020,"Ards and North Down","All",22446,19667,26226
"Mean Wage",2020,"Ards and North Down","Full-Time",29207,27490,30706
"Mean Wage",2020,"Ards and North Down","Part-Time",11856,12047,11283
"Mean Wage",2021,"Northern Ireland","All",27711,23633,31995
"Mean Wage",2021,"Northern Ireland","Full-Time",33479,31029,35252
"Mean Wage",2021,"Northern Ireland","Part-Time",13105,13100,13118
"Mean Wage",2021,"Antrim and Newtownabbey","All",27400,23951,31603
"Mean Wage",2021,"Antrim and Newtownabbey","Full-Time",33187,31728,34398
"Mean Wage",2021,"Antrim and Newtownabbey","Part-Time",13391,13023,NA
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","All",27309,23422,31808
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Full-Time",33306,31449,34764
"Mean Wage",2021,"Armagh City, Banbridge and Craigavon","Part-Time",15137,13639,NA
"Mean Wage",2021,"Belfast","All",31349,26839,35880
"Mean Wage",2021,"Belfast","Full-Time",36208,32950,38666
"Mean Wage",2021,"Belfast","Part-Time",14436,14620,13887
"Mean Wage",2021,"Causeway Coast and Glens","All",23316,20355,27308
"Mean Wage",2021,"Causeway Coast and Glens","Full-Time",28724,27577,29693
"Mean Wage",2021,"Causeway Coast and Glens","Part-Time",12153,11961,NA
"Mean Wage",2021,"Derry City and Strabane","All",24043,21524,26894
"Mean Wage",2021,"Derry City and Strabane","Full-Time",30484,30342,30594
"Mean Wage",2021,"Derry City and Strabane","Part-Time",NA,NA,12308
"Mean Wage",2021,"Fermanagh and Omagh","All",23305,20025,27523
"Mean Wage",2021,"Fermanagh and Omagh","Full-Time",29473,26346,31988
"Mean Wage",2021,"Fermanagh and Omagh","Part-Time",12212,13471,7928
"Mean Wage",2021,"Lisburn and Castlereagh","All",28229,23591,NA
"Mean Wage",2021,"Lisburn and Castlereagh","Full-Time",NA,31029,NA
"Mean Wage",2021,"Lisburn and Castlereagh","Part-Time",12393,12870,10710
"Mean Wage",2021,"Mid and East Antrim","All",23952,19865,29007
"Mean Wage",2021,"Mid and East Antrim","Full-Time",30409,27348,32883
"Mean Wage",2021,"Mid and East Antrim","Part-Time",12444,11828,NA
"Mean Wage",2021,"Mid Ulster","All",25716,22142,28068
"Mean Wage",2021,"Mid Ulster","Full-Time",30222,28518,31010
"Mean Wage",2021,"Mid Ulster","Part-Time",11226,12273,NA
"Mean Wage",2021,"Newry, Mourne and Down","All",24422,21546,27461
"Mean Wage",2021,"Newry, Mourne and Down","Full-Time",30402,28415,31874
"Mean Wage",2021,"Newry, Mourne and Down","Part-Time",12448,13072,11055
"Mean Wage",2021,"Ards and North Down","All",23273,19807,27818
"Mean Wage",2021,"Ards and North Down","Full-Time",30339,28842,31448
"Mean Wage",2021,"Ards and North Down","Part-Time",12011,12076,11759
"Mean Wage",2022,"Northern Ireland","All",29692,24767,34906
"Mean Wage",2022,"Northern Ireland","Full-Time",35491,32143,37913
"Mean Wage",2022,"Northern Ireland","Part-Time",14009,13888,14415
"Mean Wage",2022,"Antrim and Newtownabbey","All",28893,25137,34407
"Mean Wage",2022,"Antrim and Newtownabbey","Full-Time",34610,32211,37203
"Mean Wage",2022,"Antrim and Newtownabbey","Part-Time",14282,13203,NA
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","All",29193,24603,35376
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Full-Time",34845,32577,36766
"Mean Wage",2022,"Armagh City, Banbridge and Craigavon","Part-Time",16057,14500,NA
"Mean Wage",2022,"Belfast","All",34040,28093,39805
"Mean Wage",2022,"Belfast","Full-Time",39270,34443,42640
"Mean Wage",2022,"Belfast","Part-Time",16247,16527,15323
"Mean Wage",2022,"Causeway Coast and Glens","All",25874,22653,29553
"Mean Wage",2022,"Causeway Coast and Glens","Full-Time",31212,29708,32318
"Mean Wage",2022,"Causeway Coast and Glens","Part-Time",12770,13500,9816
"Mean Wage",2022,"Derry City and Strabane","All",25396,22142,28720
"Mean Wage",2022,"Derry City and Strabane","Full-Time",31077,29612,32172
"Mean Wage",2022,"Derry City and Strabane","Part-Time",11707,10999,13294
"Mean Wage",2022,"Fermanagh and Omagh","All",26907,23220,31277
"Mean Wage",2022,"Fermanagh and Omagh","Full-Time",34032,31751,35732
"Mean Wage",2022,"Fermanagh and Omagh","Part-Time",NA,NA,9900
"Mean Wage",2022,"Lisburn and Castlereagh","All",27838,23526,32553
"Mean Wage",2022,"Lisburn and Castlereagh","Full-Time",33911,30899,36208
"Mean Wage",2022,"Lisburn and Castlereagh","Part-Time",12474,12750,11649
"Mean Wage",2022,"Mid and East Antrim","All",25745,21991,30279
"Mean Wage",2022,"Mid and East Antrim","Full-Time",31244,29013,33000
"Mean Wage",2022,"Mid and East Antrim","Part-Time",12712,12820,NA
"Mean Wage",2022,"Mid Ulster","All",26424,21533,29962
"Mean Wage",2022,"Mid Ulster","Full-Time",31224,28269,32708
"Mean Wage",2022,"Mid Ulster","Part-Time",NA,11581,NA
"Mean Wage",2022,"Newry, Mourne and Down","All",28080,22592,34199
"Mean Wage",2022,"Newry, Mourne and Down","Full-Time",34256,30114,37170
"Mean Wage",2022,"Newry, Mourne and Down","Part-Time",13704,13474,NA
"Mean Wage",2022,"Ards and North Down","All",23403,21298,26634
"Mean Wage",2022,"Ards and North Down","Full-Time",30851,30518,31186
"Mean Wage",2022,"Ards and North Down","Part-Time",12295,12238,12478
"Mean Wage",2023,"Northern Ireland","All",31410,25877,37204
"Mean Wage",2023,"Northern Ireland","Full-Time",37930,34046,40721
"Mean Wage",2023,"Northern Ireland","Part-Time",15072,14391,17064
"Mean Wage",2023,"Antrim and Newtownabbey","All",32883,25870,41101
"Mean Wage",2023,"Antrim and Newtownabbey","Full-Time",39056,33694,43324
"Mean Wage",2023,"Antrim and Newtownabbey","Part-Time",15780,13962,NA
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","All",30955,25775,36886
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Full-Time",37301,35035,38903
"Mean Wage",2023,"Armagh City, Banbridge and Craigavon","Part-Time",17091,15239,NA
"Mean Wage",2023,"Belfast","All",36931,29639,44642
"Mean Wage",2023,"Belfast","Full-Time",42747,36583,47692
"Mean Wage",2023,"Belfast","Part-Time",17794,15894,NA
"Mean Wage",2023,"Causeway Coast and Glens","All",26058,23981,28438
"Mean Wage",2023,"Causeway Coast and Glens","Full-Time",30587,29246,31775
"Mean Wage",2023,"Causeway Coast and Glens","Part-Time",13893,14582,12232
"Mean Wage",2023,"Derry City and Strabane","All",27288,23347,31663
"Mean Wage",2023,"Derry City and Strabane","Full-Time",35151,32023,37839
"Mean Wage",2023,"Derry City and Strabane","Part-Time",13107,12073,14957
"Mean Wage",2023,"Fermanagh and Omagh","All",28454,25397,31725
"Mean Wage",2023,"Fermanagh and Omagh","Full-Time",36213,36560,35995
"Mean Wage",2023,"Fermanagh and Omagh","Part-Time",13594,14668,10029
"Mean Wage",2023,"Lisburn and Castlereagh","All",28333,23722,33144
"Mean Wage",2023,"Lisburn and Castlereagh","Full-Time",35235,32139,37330
"Mean Wage",2023,"Lisburn and Castlereagh","Part-Time",12970,13620,11033
"Mean Wage",2023,"Mid and East Antrim","All",28099,23868,32266
"Mean Wage",2023,"Mid and East Antrim","Full-Time",34182,31688,35762
"Mean Wage",2023,"Mid and East Antrim","Part-Time",15102,14959,NA
"Mean Wage",2023,"Mid Ulster","All",28901,21530,33750
"Mean Wage",2023,"Mid Ulster","Full-Time",34775,29462,36935
"Mean Wage",2023,"Mid Ulster","Part-Time",12776,12440,13534
"Mean Wage",2023,"Newry, Mourne and Down","All",25670,22606,29503
"Mean Wage",2023,"Newry, Mourne and Down","Full-Time",31582,29781,32998
"Mean Wage",2023,"Newry, Mourne and Down","Part-Time",13869,14583,11244
"Mean Wage",2023,"Ards and North Down","All",24878,21876,29288
"Mean Wage",2023,"Ards and North Down","Full-Time",33514,32721,34215
"Mean Wage",2023,"Ards and North Down","Part-Time",12643,12550,12961
"Mean Wage",2024,"Northern Ireland","All",32710,27270,38380
"Mean Wage",2024,"Northern Ireland","Full-Time",39517,35771,42258
"Mean Wage",2024,"Northern Ireland","Part-Time",15103,14670,16319
"Mean Wage",2024,"Antrim and Newtownabbey","All",34334,27656,42346
"Mean Wage",2024,"Antrim and Newtownabbey","Full-Time",40734,35892,44826
"Mean Wage",2024,"Antrim and Newtownabbey","Part-Time",16129,14142,NA
"Mean Wage",2024,"Armagh City, Banbridge and Craigavon","All",31528,26327,37970
"Mean Wage",2024,"Armagh City, Banbridge and Craigavon","Full-Time",38008,34788,40636
"Mean Wage",2024,"Armagh City, Banbridge and Craigavon","Part-Time",17028,15497,NA
"Mean Wage",2024,"Belfast","All",37877,32136,43837
"Mean Wage",2024,"Belfast","Full-Time",43767,39723,47021
"Mean Wage",2024,"Belfast","Part-Time",16956,15789,NA
"Mean Wage",2024,"Causeway Coast and Glens","All",25976,24008,28046
"Mean Wage",2024,"Causeway Coast and Glens","Full-Time",31957,31415,32339
"Mean Wage",2024,"Causeway Coast and Glens","Part-Time",14361,15569,11473
"Mean Wage",2024,"Derry City and Strabane","All",29116,24793,33423
"Mean Wage",2024,"Derry City and Strabane","Full-Time",36453,33724,38379
"Mean Wage",2024,"Derry City and Strabane","Part-Time",13520,13248,14098
"Mean Wage",2024,"Fermanagh and Omagh","All",30344,25074,35897
"Mean Wage",2024,"Fermanagh and Omagh","Full-Time",37527,32591,40952
"Mean Wage",2024,"Fermanagh and Omagh","Part-Time",15205,16192,12527
"Mean Wage",2024,"Lisburn and Castlereagh","All",30740,25578,36681
"Mean Wage",2024,"Lisburn and Castlereagh","Full-Time",38428,34540,41616
"Mean Wage",2024,"Lisburn and Castlereagh","Part-Time",14812,13800,17293
"Mean Wage",2024,"Mid and East Antrim","All",29288,23431,35581
"Mean Wage",2024,"Mid and East Antrim","Full-Time",36188,31335,39653
"Mean Wage",2024,"Mid and East Antrim","Part-Time",13518,13397,NA
"Mean Wage",2024,"Mid Ulster","All",30559,23309,35606
"Mean Wage",2024,"Mid Ulster","Full-Time",36023,30453,38411
"Mean Wage",2024,"Mid Ulster","Part-Time",13779,14523,11558
"Mean Wage",2024,"Newry, Mourne and Down","All",28018,23968,32265
"Mean Wage",2024,"Newry, Mourne and Down","Full-Time",35586,32736,37664
"Mean Wage",2024,"Newry, Mourne and Down","Part-Time",13260,13477,12781
"Mean Wage",2024,"Ards and North Down","All",25461,21991,30640
"Mean Wage",2024,"Ards and North Down","Full-Time",34081,31685,36266
"Mean Wage",2024,"Ards and North Down","Part-Time",12575,13142,10556
"Mean Wage",2025,"Northern Ireland","All",35571,30287,41389
"Mean Wage",2025,"Northern Ireland","Full-Time",43113,39643,45756
"Mean Wage",2025,"Northern Ireland","Part-Time",16539,16779,15798
"Mean Wage",2025,"Antrim and Newtownabbey","All",37369,30460,45247
"Mean Wage",2025,"Antrim and Newtownabbey","Full-Time",44312,38811,48492
"Mean Wage",2025,"Antrim and Newtownabbey","Part-Time",18980,18522,NA
"Mean Wage",2025,"Armagh City, Banbridge and Craigavon","All",34807,30442,40116
"Mean Wage",2025,"Armagh City, Banbridge and Craigavon","Full-Time",42446,38974,45505
"Mean Wage",2025,"Armagh City, Banbridge and Craigavon","Part-Time",17159,17874,15177
"Mean Wage",2025,"Belfast","All",40016,35140,45467
"Mean Wage",2025,"Belfast","Full-Time",46962,43980,49501
"Mean Wage",2025,"Belfast","Part-Time",17012,17248,16292
"Mean Wage",2025,"Causeway Coast and Glens","All",28537,25978,31652
"Mean Wage",2025,"Causeway Coast and Glens","Full-Time",35202,34807,35542
"Mean Wage",2025,"Causeway Coast and Glens","Part-Time",16673,15632,NA
"Mean Wage",2025,"Derry City and Strabane","All",33442,28161,39689
"Mean Wage",2025,"Derry City and Strabane","Full-Time",41013,37520,43648
"Mean Wage",2025,"Derry City and Strabane","Part-Time",16909,16984,16631
"Mean Wage",2025,"Fermanagh and Omagh","All",34350,29790,38923
"Mean Wage",2025,"Fermanagh and Omagh","Full-Time",42838,41733,43504
"Mean Wage",2025,"Fermanagh and Omagh","Part-Time",16037,17224,NA
"Mean Wage",2025,"Lisburn and Castlereagh","All",35333,27658,43755
"Mean Wage",2025,"Lisburn and Castlereagh","Full-Time",43500,36663,48432
"Mean Wage",2025,"Lisburn and Castlereagh","Part-Time",16309,16176,NA
"Mean Wage",2025,"Mid and East Antrim","All",33143,25995,39406
"Mean Wage",2025,"Mid and East Antrim","Full-Time",39670,33088,43465
"Mean Wage",2025,"Mid and East Antrim","Part-Time",NA,NA,13249
"Mean Wage",2025,"Mid Ulster","All",31469,25345,36476
"Mean Wage",2025,"Mid Ulster","Full-Time",38323,35314,39837
"Mean Wage",2025,"Mid Ulster","Part-Time",NA,13898,NA
"Mean Wage",2025,"Newry, Mourne and Down","All",30823,26595,36302
"Mean Wage",2025,"Newry, Mourne and Down","Full-Time",38671,35953,40925
"Mean Wage",2025,"Newry, Mourne and Down","Part-Time",16278,16397,NA
"Mean Wage",2025,"Ards and North Down","All",27543,25176,31050
"Mean Wage",2025,"Ards and North Down","Full-Time",35421,33812,37019
"Mean Wage",2025,"Ards and North Down","Part-Time",15158,16183,12046
